Tempo(s)	P0(KPa)	P0+Coluna(KPa)	P1(KPa)	P1+Coluna(KPa)
0.067	-0.01	9.62	0.08	7.71
0.159	-0.01	9.62	-0.08	7.54
0.247	-0.01	9.62	0.05	7.68
0.337	-0.01	9.62	-0.02	7.61
0.484	-0.01	9.62	0.09	7.71
0.577	-0.01	9.62	-0.08	7.55
0.666	-0.01	9.62	0.09	7.72
0.756	-0.01	9.62	-0.06	7.57
0.846	-0.01	9.62	0.03	7.66
0.937	-0.01	9.62	0.01	7.64
1.033	-0.01	9.62	-0.08	7.55
1.126	-0.01	9.62	-0.08	7.55
1.220	-0.01	9.62	0.08	7.71
1.317	-0.02	9.61	0.08	7.71
1.419	-0.02	9.61	0.02	7.65
1.516	-0.03	9.60	0.08	7.71
1.608	-0.01	9.62	-0.08	7.55
1.726	-0.04	9.59	-0.08	7.55
1.817	-0.02	9.61	0.08	7.71
1.907	-0.03	9.60	-0.07	7.56
1.997	-0.02	9.61	0.04	7.66
2.087	-0.02	9.61	-0.00	7.63
2.176	-0.02	9.61	-0.07	7.55
2.268	-0.02	9.61	0.09	7.72
2.357	-0.02	9.61	-0.07	7.56
2.447	-0.02	9.61	0.03	7.66
2.536	-0.02	9.60	0.00	7.63
2.626	-0.02	9.61	-0.08	7.55
2.717	-0.02	9.61	0.09	7.71
2.806	-0.02	9.60	-0.05	7.58
2.896	-0.02	9.61	0.03	7.66
2.986	-0.02	9.60	0.03	7.65
3.076	-0.02	9.60	-0.09	7.54
3.166	-0.02	9.61	0.08	7.71
3.256	-0.02	9.60	-0.05	7.58
3.352	-0.03	9.60	0.05	7.68
3.485	-0.04	9.59	0.07	7.69
3.576	-0.02	9.60	-0.09	7.54
3.666	-0.02	9.61	0.09	7.71
3.756	-0.02	9.60	-0.05	7.58
3.848	-0.03	9.60	0.06	7.69
3.945	-0.02	9.61	0.01	7.64
4.035	-0.02	9.61	0.08	7.71
4.125	-0.02	9.61	-0.08	7.55
4.215	-0.02	9.61	0.07	7.70
4.308	-0.02	9.61	-0.08	7.55
4.419	-0.02	9.60	0.03	7.66
4.515	1.15	10.78	0.07	7.70
4.606	11.07	20.70	-0.04	7.58
4.695	17.84	27.47	0.02	7.65
4.785	23.96	33.59	0.07	7.70
4.875	26.24	35.87	-0.09	7.54
4.965	23.87	33.50	0.07	7.69
5.069	21.34	30.97	0.02	7.65
5.164	23.20	32.83	0.05	7.68
5.254	23.67	33.30	-0.02	7.61
5.344	23.30	32.93	-0.05	7.58
5.434	22.82	32.45	0.09	7.72
5.524	21.49	31.12	-0.07	7.56
5.614	19.91	29.54	0.04	7.67
5.704	15.62	25.25	-0.01	7.61
5.794	5.97	15.60	-0.06	7.57
5.884	8.64	18.27	0.09	7.71
5.974	15.05	24.68	-0.06	7.57
6.064	16.19	25.82	0.04	7.67
6.153	11.80	21.43	-0.00	7.63
6.243	7.31	16.94	-0.07	7.56
6.333	12.70	22.33	0.09	7.72
6.423	18.95	28.58	-0.06	7.57
6.516	21.97	31.59	0.08	7.71
6.613	20.30	29.93	0.03	7.66
6.703	19.79	29.42	0.01	7.64
6.793	17.73	27.36	-0.08	7.55
6.883	15.66	25.29	0.09	7.72
6.973	13.44	23.07	-0.06	7.57
7.063	13.41	23.03	0.03	7.66
7.153	19.26	28.89	0.03	7.65
7.243	25.07	34.70	-0.08	7.55
7.333	27.84	37.47	0.09	7.72
7.423	25.20	34.83	-0.05	7.58
7.513	20.14	29.77	0.03	7.66
7.603	19.22	28.85	0.04	7.67
7.693	21.37	31.00	-0.08	7.55
7.783	21.72	31.35	0.08	7.70
7.873	21.01	30.64	-0.05	7.58
7.963	20.28	29.91	0.02	7.65
8.052	18.55	28.18	0.05	7.68
8.142	16.63	26.25	-0.08	7.54
8.232	13.83	23.46	0.08	7.71
8.322	15.75	25.38	-0.04	7.59
8.412	22.89	32.52	0.02	7.65
8.502	28.72	38.35	0.06	7.69
8.592	31.22	40.85	-0.08	7.55
8.682	26.74	36.37	0.07	7.70
8.772	21.76	31.38	-0.03	7.60
8.862	22.81	32.44	0.01	7.64
8.952	24.99	34.62	0.07	7.70
9.045	25.07	34.70	-0.01	7.62
9.142	24.34	33.97	-0.08	7.55
9.232	22.62	32.25	0.07	7.70
9.322	20.16	29.79	-0.03	7.60
9.412	17.93	27.56	0.00	7.63
9.507	15.50	25.13	-0.07	7.56
