Tempo(s)	P0(KPa)	P0+Coluna(KPa)	P1(KPa)	P1+Coluna(KPa)
0.067	-0.56	8.59	-0.08	7.58
0.165	-0.56	8.59	-0.08	7.58
0.254	-0.57	8.59	0.02	7.68
0.344	-0.57	8.58	-0.01	7.65
0.434	-0.57	8.59	-0.07	7.59
0.528	-0.57	8.58	-0.02	7.64
0.624	-0.57	8.58	0.07	7.73
0.714	-0.57	8.58	-0.07	7.59
0.804	-0.57	8.58	0.03	7.69
0.894	-0.57	8.58	-0.02	7.64
0.984	-0.57	8.58	-0.07	7.59
1.074	-0.57	8.58	0.08	7.74
1.164	-0.58	8.58	-0.08	7.58
1.254	-0.58	8.58	0.03	7.69
1.344	-0.58	8.58	-0.02	7.64
1.434	-0.58	8.58	-0.07	7.59
1.524	-0.57	8.58	0.07	7.73
1.643	-0.59	8.56	-0.01	7.65
1.735	-0.58	8.57	-0.02	7.64
1.825	-0.58	8.57	0.07	7.73
1.915	-0.58	8.57	-0.09	7.57
2.005	-0.58	8.57	0.05	7.71
2.095	-0.58	8.57	-0.04	7.62
2.185	-0.59	8.56	-0.02	7.64
2.275	-0.59	8.56	0.07	7.73
2.364	-0.59	8.56	-0.09	7.57
2.454	-0.59	8.56	0.04	7.70
2.544	-0.59	8.56	-0.04	7.62
2.634	-0.60	8.56	-0.02	7.64
2.724	-0.60	8.55	0.07	7.73
2.814	-0.60	8.55	-0.09	7.57
2.904	-0.60	8.55	0.05	7.71
2.994	-0.60	8.55	-0.04	7.62
3.084	-0.54	8.61	-0.02	7.64
3.174	7.18	16.33	0.07	7.73
3.264	17.31	26.47	-0.09	7.57
3.395	22.62	31.77	-0.06	7.60
3.493	21.41	30.56	-0.01	7.65
3.583	15.72	24.87	-0.08	7.58
3.672	13.36	22.51	0.08	7.74
3.762	16.13	25.29	-0.07	7.59
3.852	16.63	25.78	0.03	7.69
3.942	15.78	24.93	-0.01	7.65
4.032	15.14	24.29	-0.07	7.59
4.122	13.45	22.60	0.08	7.74
4.217	11.59	20.74	-0.03	7.63
4.312	9.67	18.82	-0.07	7.59
4.402	9.58	18.74	0.03	7.69
4.492	16.10	25.25	-0.01	7.65
4.582	21.08	30.23	-0.06	7.60
4.678	23.18	32.34	-0.07	7.59
4.772	19.44	28.59	0.07	7.73
4.862	14.38	23.54	-0.07	7.59
4.983	15.52	24.67	-0.02	7.64
5.074	16.79	25.94	0.06	7.72
5.172	15.99	25.14	0.08	7.74
5.276	15.20	24.35	-0.03	7.63
5.372	13.49	22.65	0.07	7.73
5.462	11.60	20.75	-0.07	7.59
5.551	9.67	18.83	0.03	7.69
5.645	9.47	18.62	-0.07	7.59
5.741	16.59	25.74	-0.00	7.66
5.831	21.46	30.61	-0.08	7.58
5.921	23.13	32.29	0.07	7.73
6.011	19.61	28.76	-0.07	7.59
6.101	14.39	23.54	0.03	7.69
6.191	14.23	23.38	-0.00	7.66
6.281	16.88	26.04	-0.08	7.58
6.371	16.47	25.63	0.08	7.74
6.461	15.57	24.72	-0.07	7.59
6.551	14.69	23.84	0.02	7.68
6.671	12.22	21.37	0.08	7.74
6.762	10.39	19.54	-0.08	7.58
6.852	8.77	17.93	0.04	7.70
6.942	13.41	22.57	-0.03	7.63
7.032	19.44	28.59	-0.04	7.62
7.122	22.75	31.90	0.07	7.73
7.212	22.14	31.30	-0.08	7.58
7.302	16.48	25.63	0.05	7.71
7.392	13.48	22.64	-0.03	7.63
7.482	16.06	25.21	-0.04	7.62
7.572	16.86	26.01	0.07	7.73
7.662	15.95	25.10	-0.09	7.57
7.752	15.36	24.51	0.04	7.70
7.842	13.79	22.95	-0.03	7.63
7.931	11.90	21.05	-0.04	7.62
8.021	10.03	19.19	0.07	7.73
8.111	8.86	18.01	-0.08	7.58
8.201	14.67	23.82	0.04	7.70
8.340	22.19	31.35	-0.01	7.65
8.431	22.85	32.00	-0.05	7.61
8.521	17.88	27.03	0.07	7.73
8.611	13.69	22.84	-0.08	7.58
8.701	15.19	24.34	0.04	7.70
8.791	16.95	26.10	-0.03	7.63
8.881	16.19	25.34	-0.06	7.60
8.983	15.25	24.41	0.02	7.68
9.079	13.93	23.08	-0.08	7.58
9.175	11.91	21.07	-0.04	7.62
9.269	9.84	19.00	0.07	7.73
9.359	9.03	18.18	-0.06	7.60
9.449	15.05	24.20	0.02	7.68
9.539	20.61	29.76	0.02	7.68
9.629	23.17	32.32	-0.09	7.57
9.719	20.95	30.10	0.07	7.73
9.809	15.24	24.40	-0.06	7.60
9.899	13.74	22.90	0.02	7.68
9.993	16.66	25.81	-0.07	7.59
10.089	16.73	25.89	0.02	7.68
10.179	15.75	24.90	-0.09	7.57
10.269	14.91	24.07	0.07	7.73
10.359	13.03	22.19	-0.06	7.60
10.449	11.23	20.38	0.01	7.67
10.571	8.71	17.86	0.06	7.72
10.660	12.59	21.74	-0.08	7.58
10.750	18.82	27.97	0.03	7.69
10.852	22.83	31.98	0.07	7.73
10.948	21.60	30.75	0.02	7.68
11.038	16.00	25.16	0.03	7.69
11.128	13.41	22.57	-0.08	7.58
11.218	16.23	25.38	0.07	7.73
11.308	16.70	25.85	-0.05	7.61
11.398	15.79	24.94	0.01	7.67
11.488	15.23	24.38	0.03	7.69
11.578	13.51	22.66	-0.09	7.57
11.668	11.77	20.92	0.07	7.73
11.759	9.85	19.00	-0.07	7.59
11.849	9.24	18.39	0.03	7.69
11.939	15.38	24.54	-0.02	7.64
12.029	20.81	29.96	-0.07	7.59
12.119	22.92	32.08	0.07	7.73
12.209	20.46	29.61	-0.08	7.58
12.299	14.99	24.14	0.03	7.69
12.389	13.83	22.98	-0.02	7.64
12.479	16.64	25.80	-0.07	7.59
12.569	16.64	25.79	0.07	7.73
12.659	15.74	24.89	-0.07	7.59
