Tempo(s)	P0(KPa)	P0+Coluna(KPa)	P1(KPa)	P1+Coluna(KPa)
0.067	-0.00	8.53	-0.08	7.56
0.159	0.00	8.54	0.08	7.72
0.249	-0.00	8.54	-0.08	7.56
0.339	-0.00	8.54	0.05	7.69
0.429	-0.00	8.54	-0.04	7.61
0.519	0.00	8.54	-0.02	7.62
0.609	-0.00	8.54	0.07	7.71
0.699	-0.00	8.54	-0.08	7.56
0.789	-0.00	8.54	0.05	7.69
0.879	-0.01	8.53	-0.04	7.61
0.972	-0.01	8.53	0.06	7.70
1.069	-0.00	8.53	-0.01	7.64
1.159	-0.01	8.53	0.06	7.71
1.249	-0.00	8.54	-0.08	7.56
1.339	-0.00	8.54	0.06	7.70
1.428	-0.00	8.54	-0.04	7.60
1.518	-0.00	8.54	0.01	7.65
1.639	-0.02	8.52	0.06	7.71
1.730	-0.01	8.53	-0.06	7.58
1.820	-0.00	8.53	0.03	7.67
1.910	-0.01	8.53	-0.01	7.64
2.000	-0.01	8.53	-0.07	7.57
2.089	-0.01	8.53	0.08	7.72
2.179	-0.01	8.53	-0.07	7.57
2.269	-0.00	8.53	0.04	7.68
2.359	-0.00	8.53	-0.01	7.63
2.449	-0.01	8.53	-0.06	7.58
2.539	-0.01	8.53	0.08	7.72
2.629	-0.00	8.53	-0.07	7.57
2.719	-0.01	8.53	0.04	7.69
2.809	-0.01	8.53	-0.02	7.62
2.899	-0.01	8.53	-0.05	7.59
2.989	-0.01	8.53	0.08	7.72
3.079	-0.01	8.53	-0.08	7.56
3.169	-0.01	8.53	0.04	7.69
3.259	4.50	13.03	-0.02	7.62
3.390	19.15	27.69	0.02	7.67
3.487	23.43	31.96	0.08	7.73
3.577	23.56	32.09	-0.06	7.58
3.667	18.24	26.78	0.03	7.68
3.757	14.19	22.73	0.00	7.64
3.847	16.20	24.74	-0.07	7.57
3.937	17.66	26.20	0.08	7.72
4.027	16.89	25.43	-0.07	7.58
4.117	16.14	24.68	0.03	7.68
4.211	14.65	23.19	-0.07	7.57
4.307	12.66	21.19	-0.01	7.63
4.397	10.77	19.31	-0.06	7.58
4.487	9.46	18.00	0.08	7.72
4.583	15.34	23.88	0.03	7.67
4.677	21.34	29.88	-0.07	7.57
4.767	24.04	32.58	0.04	7.68
4.857	22.14	30.67	-0.02	7.62
4.947	16.26	24.80	-0.04	7.60
5.068	15.32	23.86	0.08	7.72
5.167	17.75	26.29	0.05	7.69
5.258	17.21	25.74	-0.04	7.60
5.348	16.50	25.04	0.02	7.66
5.438	15.13	23.67	0.03	7.68
5.528	13.08	21.61	-0.08	7.56
5.618	11.17	19.71	0.07	7.72
5.707	9.35	17.89	-0.05	7.59
5.797	13.12	21.65	0.02	7.67
5.887	19.72	28.26	0.03	7.68
5.977	23.38	31.91	-0.08	7.56
6.080	22.79	31.33	-0.00	7.64
6.176	16.82	25.36	-0.09	7.55
6.266	14.25	22.79	0.06	7.70
6.356	17.08	25.62	-0.04	7.60
6.446	17.67	26.20	-0.00	7.64
6.536	16.66	25.20	0.06	7.70
6.626	15.99	24.53	-0.09	7.56
6.746	13.69	22.22	0.02	7.66
6.837	11.79	20.32	-0.01	7.64
6.927	9.82	18.35	-0.07	7.57
7.017	11.33	19.87	0.08	7.72
7.107	18.15	26.69	-0.06	7.58
7.197	22.72	31.26	0.03	7.68
7.287	23.92	32.45	-0.01	7.63
7.377	19.55	28.09	-0.06	7.58
7.466	14.67	23.21	0.08	7.72
7.557	15.51	24.05	-0.07	7.57
7.649	17.72	26.26	0.08	7.72
7.745	17.18	25.71	0.03	7.67
7.835	16.41	24.94	0.03	7.68
7.925	15.08	23.62	-0.08	7.56
8.015	13.15	21.69	0.08	7.72
8.105	11.25	19.79	-0.06	7.59
8.195	9.54	18.08	0.03	7.67
8.285	13.36	21.90	0.02	7.67
8.417	21.75	30.29	0.05	7.70
8.509	24.08	32.62	-0.05	7.59
8.605	20.71	29.24	-0.06	7.58
8.694	15.37	23.91	0.03	7.67
8.789	15.16	23.70	-0.08	7.57
8.884	17.72	26.26	0.00	7.64
8.974	17.26	25.80	-0.07	7.57
9.064	16.57	25.11	0.08	7.72
9.160	15.36	23.90	0.02	7.66
9.254	13.32	21.86	-0.07	7.58
9.344	11.43	19.97	0.03	7.68
9.434	9.59	18.12	-0.01	7.63
9.524	13.02	21.56	-0.07	7.57
9.614	19.61	28.15	0.08	7.72
9.704	23.46	32.00	-0.07	7.58
9.794	23.41	31.94	0.04	7.68
9.884	18.18	26.72	-0.02	7.63
9.974	14.48	23.01	-0.06	7.58
10.069	16.69	25.23	-0.05	7.59
10.164	17.75	26.29	0.08	7.72
10.254	16.98	25.51	-0.07	7.57
10.344	16.34	24.88	0.04	7.68
10.434	14.66	23.20	-0.02	7.62
10.525	12.79	21.32	0.01	7.65
10.615	10.84	19.38	0.05	7.69
10.705	9.70	18.24	-0.08	7.56
10.795	15.38	23.92	0.07	7.72
10.884	21.12	29.65	-0.04	7.60
10.975	24.03	32.57	0.02	7.66
11.064	22.33	30.87	0.05	7.69
11.154	16.63	25.17	-0.08	7.56
11.244	14.40	22.94	0.08	7.72
11.347	17.60	26.14	0.07	7.71
11.443	17.62	26.15	0.06	7.70
11.533	16.70	25.24	-0.04	7.60
11.623	15.89	24.43	-0.01	7.63
11.713	13.99	22.53	0.08	7.72
11.803	12.11	20.65	-0.08	7.56
11.893	10.17	18.71	0.05	7.70
11.983	11.16	19.70	-0.04	7.60
12.073	18.04	26.58	-0.00	7.64
12.163	22.64	31.18	0.07	7.71
12.252	24.08	32.62	-0.08	7.56
12.342	19.98	28.52	0.06	7.70
12.432	15.09	23.63	-0.04	7.60
12.522	15.44	23.98	0.00	7.65
12.612	17.73	26.27	0.06	7.70
12.702	17.32	25.85	-0.09	7.56
12.792	16.58	25.11	0.06	7.71
12.882	15.65	24.18	-0.04	7.60
12.972	13.65	22.19	0.01	7.65
13.062	11.82	20.35	0.05	7.69
13.152	9.88	18.41	-0.08	7.56
13.251	13.19	21.72	-0.08	7.56
13.342	19.80	28.33	0.07	7.71
13.432	23.63	32.17	-0.04	7.60
13.522	23.51	32.05	0.02	7.66
13.618	17.93	26.46	-0.08	7.56
13.712	14.37	22.91	0.04	7.68
13.802	16.90	25.43	-0.09	7.56
13.892	17.80	26.34	0.08	7.72
13.981	16.98	25.52	-0.05	7.59
14.071	16.34	24.88	0.02	7.66
14.161	14.73	23.27	0.03	7.67
14.251	12.85	21.39	-0.09	7.56
14.341	10.94	19.48	0.08	7.72
14.431	9.76	18.30	-0.06	7.58
14.521	15.32	23.85	0.03	7.67
14.611	21.07	29.60	0.02	7.67
14.701	24.09	32.62	-0.08	7.56
14.791	22.45	30.99	0.08	7.72
14.881	16.80	25.34	-0.06	7.58
14.971	14.51	23.05	0.03	7.67
15.061	17.42	25.95	0.01	7.65
15.151	17.71	26.25	-0.08	7.56
15.241	16.90	25.43	0.08	7.72
15.331	16.23	24.76	-0.06	7.58
15.421	14.44	22.98	0.03	7.67
15.511	12.56	21.10	-0.00	7.64
15.601	10.52	19.05	-0.06	7.58
15.692	10.28	18.81	0.07	7.71
15.782	16.84	25.38	-0.08	7.56
15.872	22.04	30.58	0.06	7.70
15.962	24.24	32.78	-0.04	7.60
16.052	21.34	29.88	0.00	7.64
16.142	15.88	24.42	0.06	7.71
16.232	14.92	23.46	-0.08	7.56
16.326	17.73	26.27	0.00	7.64
16.420	17.48	26.02	0.04	7.68
16.510	16.54	25.07	-0.02	7.62
16.604	15.86	24.39	0.05	7.69
16.700	13.69	22.23	-0.05	7.59
16.790	11.77	20.30	0.08	7.72
16.880	9.80	18.34	-0.08	7.57
16.970	12.49	21.03	0.04	7.69
17.060	19.20	27.74	-0.02	7.62
17.150	23.35	31.89	-0.04	7.60
17.240	23.88	32.41	0.08	7.72
17.330	18.99	27.53	-0.08	7.56
17.420	14.71	23.25	0.05	7.69
17.509	16.22	24.75	-0.03	7.62
17.599	17.94	26.47	-0.03	7.61
17.694	17.27	25.80	-0.04	7.60
17.789	16.48	25.02	0.08	7.72
17.879	15.05	23.58	-0.08	7.56
17.969	13.08	21.62	0.05	7.69
18.102	10.24	18.78	0.05	7.69
18.199	11.43	19.97	-0.02	7.62
18.289	18.25	26.79	0.08	7.72
18.379	22.83	31.37	-0.08	7.56
18.469	24.13	32.67	0.05	7.69
18.559	20.00	28.54	-0.03	7.61
18.649	15.02	23.55	-0.01	7.63
18.739	15.72	24.26	0.07	7.72
18.829	17.89	26.43	-0.09	7.55
18.919	17.53	26.06	0.06	7.70
19.009	16.72	25.25	-0.04	7.60
19.099	15.55	24.09	0.00	7.64
19.188	13.59	22.13	0.06	7.71
19.278	11.67	20.21	-0.09	7.56
19.368	9.88	18.42	0.06	7.71
19.458	12.80	21.34	-0.04	7.61
