Tempo(s)	P0(KPa)	P0+Coluna(KPa)	P1(KPa)	P1+Coluna(KPa)
0.000	1.15	10.29	0.06	7.75
0.027	0.95	10.09	0.01	7.70
0.050	1.22	10.37	0.04	7.73
0.072	1.07	10.22	-0.06	7.64
0.095	1.04	10.19	0.05	7.75
0.117	0.34	9.48	-0.04	7.66
0.140	0.16	9.30	0.00	7.69
0.162	0.19	9.33	0.05	7.74
0.185	0.08	9.22	-0.05	7.64
0.207	0.16	9.31	0.05	7.74
0.230	0.12	9.26	-0.04	7.65
0.253	0.12	9.26	0.00	7.69
0.275	0.25	9.39	0.05	7.74
0.298	0.33	9.48	-0.06	7.64
0.321	0.43	9.58	0.05	7.74
0.343	0.54	9.68	-0.04	7.66
0.366	0.56	9.70	0.00	7.69
0.389	0.27	9.41	0.05	7.74
0.411	0.21	9.36	0.05	7.74
0.437	0.11	9.26	0.00	7.69
0.459	0.01	9.15	0.05	7.74
0.482	0.03	9.17	-0.05	7.64
0.505	-0.02	9.13	0.05	7.74
0.527	-0.06	9.09	-0.03	7.66
0.550	-0.06	9.08	0.00	7.69
0.573	-0.15	8.99	0.05	7.75
0.595	-0.21	8.93	-0.05	7.64
0.618	-0.22	8.93	0.05	7.74
0.640	-0.24	8.90	-0.03	7.66
0.663	-0.26	8.88	0.00	7.69
0.686	-0.25	8.90	0.05	7.74
0.708	-0.23	8.91	-0.05	7.64
0.731	-0.22	8.93	0.05	7.74
0.754	-0.22	8.93	-0.03	7.66
0.776	-0.21	8.93	0.01	7.70
0.800	-0.20	8.94	0.03	7.72
0.821	-0.21	8.93	-0.06	7.64
0.844	-0.23	8.92	-0.01	7.68
0.867	-0.21	8.94	0.05	7.75
0.890	-0.21	8.93	-0.05	7.64
0.912	-0.21	8.94	0.05	7.74
0.935	-0.20	8.94	-0.04	7.66
0.958	-0.18	8.97	0.01	7.70
0.980	-0.17	8.97	0.05	7.74
1.003	-0.16	8.99	-0.05	7.64
1.026	-0.16	8.98	0.06	7.75
1.047	-0.17	8.98	-0.03	7.66
1.069	-0.15	8.99	0.01	7.70
1.092	-0.12	9.03	0.05	7.74
1.115	-0.10	9.05	-0.05	7.64
1.137	-0.10	9.04	0.05	7.75
1.166	-0.07	9.07	0.05	7.74
1.189	-0.05	9.10	-0.04	7.66
1.212	-0.07	9.07	0.00	7.70
1.234	-0.08	9.06	0.05	7.74
1.257	-0.14	9.01	-0.02	7.67
1.280	-0.07	9.07	0.01	7.70
1.303	-0.05	9.09	0.05	7.74
1.326	-0.01	9.13	-0.05	7.64
1.348	-0.10	9.04	0.05	7.74
1.371	-0.17	8.97	-0.03	7.66
1.394	-0.20	8.95	0.01	7.70
1.416	-0.21	8.94	0.05	7.75
1.439	-0.21	8.94	-0.05	7.64
1.462	-0.23	8.91	0.05	7.74
1.484	-0.23	8.91	-0.03	7.66
1.507	-0.22	8.93	0.01	7.70
1.529	-0.21	8.94	0.05	7.74
1.552	-0.20	8.95	-0.05	7.64
1.575	-0.19	8.95	0.05	7.74
1.597	-0.18	8.97	-0.03	7.66
1.620	-0.17	8.97	0.01	7.70
1.643	-0.17	8.97	0.05	7.75
1.665	-0.18	8.96	-0.05	7.64
1.688	-0.23	8.91	-0.05	7.64
1.713	-0.22	8.92	0.05	7.74
1.736	-0.24	8.90	-0.05	7.64
1.758	-0.27	8.88	0.05	7.74
1.781	-0.28	8.87	-0.03	7.66
1.804	-0.29	8.85	0.01	7.70
1.826	-0.30	8.84	0.05	7.74
1.849	-0.31	8.84	-0.05	7.64
1.871	-0.31	8.84	0.05	7.74
1.894	-0.31	8.84	-0.03	7.66
1.917	-0.31	8.83	0.01	7.70
1.939	-0.31	8.83	0.05	7.75
1.962	-0.31	8.83	-0.05	7.64
1.985	-0.31	8.83	0.05	7.74
2.007	-0.31	8.84	-0.04	7.66
2.030	-0.30	8.85	0.01	7.70
2.054	-0.29	8.85	0.02	7.71
2.075	-0.28	8.87	-0.05	7.64
2.098	-0.27	8.87	0.05	7.74
2.120	-0.30	8.84	-0.04	7.66
2.144	-0.28	8.87	0.05	7.75
2.167	-0.27	8.87	-0.05	7.64
2.189	-0.27	8.88	0.06	7.75
2.212	-0.26	8.89	-0.03	7.66
2.234	-0.25	8.89	0.05	7.74
2.264	-0.23	8.91	0.01	7.70
2.286	-0.23	8.92	0.05	7.75
2.309	-0.22	8.92	-0.05	7.64
2.332	-0.22	8.93	0.05	7.74
2.354	-0.21	8.93	-0.03	7.66
2.377	-0.21	8.94	0.00	7.69
2.399	-0.21	8.94	0.06	7.75
2.422	-0.20	8.94	-0.05	7.64
2.445	-0.20	8.94	0.05	7.74
2.467	-0.20	8.94	-0.03	7.66
2.490	-0.20	8.95	0.01	7.70
2.513	-0.19	8.95	0.06	7.75
2.535	-0.18	8.96	-0.06	7.64
2.558	-0.18	8.97	0.06	7.75
2.580	-0.17	8.98	-0.04	7.66
2.603	-0.16	8.99	0.00	7.69
2.625	-0.14	9.00	0.05	7.74
2.648	-0.13	9.01	-0.06	7.64
2.671	-0.13	9.01	0.05	7.74
2.693	-0.13	9.01	-0.03	7.66
2.716	-0.13	9.01	0.01	7.70
2.739	-0.14	9.01	0.05	7.75
2.761	-0.14	9.00	-0.05	7.64
2.784	-0.14	9.00	0.05	7.74
2.807	-0.14	9.01	-0.03	7.66
2.829	-0.14	9.01	0.00	7.69
2.852	-0.13	9.01	0.06	7.75
2.874	-0.12	9.02	-0.05	7.64
2.897	-0.12	9.03	0.05	7.74
2.920	-0.11	9.03	-0.04	7.66
2.942	-0.10	9.04	0.00	7.69
2.965	-0.10	9.05	0.05	7.75
2.988	-0.09	9.06	-0.05	7.64
3.010	-0.08	9.06	0.05	7.74
3.033	-0.07	9.07	-0.03	7.66
3.056	-0.06	9.08	0.00	7.70
3.078	-0.05	9.09	0.05	7.75
3.101	-0.06	9.09	-0.05	7.64
3.123	-0.06	9.09	0.05	7.74
3.146	-0.05	9.09	-0.03	7.66
3.169	-0.06	9.09	0.00	7.70
3.191	-0.06	9.09	0.05	7.74
3.214	-0.05	9.09	-0.05	7.64
3.237	-0.05	9.10	0.05	7.74
3.259	-0.05	9.10	-0.04	7.66
3.282	-0.05	9.10	0.00	7.70
3.305	-0.05	9.10	0.05	7.74
3.327	-0.05	9.10	-0.05	7.65
3.351	-0.05	9.10	0.06	7.75
3.381	-0.04	9.10	0.05	7.74
3.403	-0.06	9.08	-0.04	7.66
3.431	-0.03	9.11	-0.04	7.65
3.453	-0.03	9.11	0.01	7.70
3.476	-0.03	9.12	0.05	7.75
3.499	-0.03	9.12	-0.05	7.64
3.521	-0.02	9.12	0.05	7.74
3.544	-0.02	9.13	-0.03	7.66
3.566	-0.01	9.13	0.01	7.70
3.589	-0.02	9.13	0.05	7.75
