Tempo(s)	P0(KPa)	P0+Coluna(KPa)	P1(KPa)	P1+Coluna(KPa)
0.067	-0.05	8.88	0.06	7.69
0.159	-0.06	8.87	-0.06	7.57
0.248	-0.07	8.86	0.05	7.68
0.338	-0.07	8.86	-0.03	7.60
0.428	-0.08	8.85	-0.01	7.62
0.518	-0.09	8.84	0.06	7.69
0.608	-0.10	8.83	-0.06	7.57
0.702	-0.11	8.82	0.04	7.67
0.798	-0.11	8.82	0.05	7.68
0.888	-0.11	8.82	-0.03	7.60
0.978	-0.11	8.82	0.01	7.64
1.068	-0.12	8.81	0.06	7.69
1.204	-0.13	8.80	-0.02	7.61
1.298	-0.13	8.80	0.06	7.69
1.388	-0.13	8.79	-0.03	7.60
1.478	-0.14	8.79	0.01	7.64
1.568	-0.14	8.79	0.06	7.69
1.704	-0.17	8.76	-0.04	7.59
1.799	-0.15	8.78	0.07	7.70
1.898	-0.16	8.77	0.06	7.69
1.988	-0.16	8.77	-0.04	7.59
2.078	-0.16	8.77	0.02	7.65
2.168	-0.16	8.77	0.05	7.68
2.257	-0.16	8.77	-0.07	7.57
2.347	-0.16	8.77	0.06	7.69
2.437	-0.16	8.77	-0.03	7.60
2.527	-0.17	8.76	0.02	7.65
2.617	-0.17	8.76	0.05	7.68
2.707	-0.17	8.76	-0.06	7.57
2.797	-0.17	8.76	0.06	7.69
2.887	-0.17	8.76	-0.04	7.59
2.977	-0.17	8.76	0.02	7.65
3.067	-0.17	8.75	0.04	7.67
3.157	-0.18	8.75	-0.06	7.57
3.247	-0.17	8.75	0.06	7.69
3.337	-0.17	8.75	-0.03	7.60
3.457	-0.19	8.74	-0.06	7.57
3.548	-0.18	8.75	0.07	7.70
3.638	-0.18	8.75	-0.06	7.57
3.728	-0.18	8.75	0.04	7.67
3.818	-0.18	8.75	-0.02	7.62
3.908	-0.18	8.75	-0.04	7.59
3.998	-0.18	8.75	0.07	7.70
4.088	-0.19	8.74	-0.06	7.57
4.178	-0.19	8.74	0.04	7.67
4.268	-0.19	8.74	-0.02	7.61
4.358	-0.19	8.74	-0.03	7.60
4.448	-0.19	8.74	0.06	7.69
4.538	-0.20	8.73	-0.06	7.57
4.627	-0.20	8.73	0.04	7.67
4.718	-0.19	8.74	-0.03	7.60
4.808	-0.20	8.73	-0.03	7.60
4.898	-0.20	8.73	0.06	7.69
4.987	-0.20	8.73	-0.06	7.57
5.128	-0.22	8.71	0.07	7.70
